ensembl_gene_id,gene_id
ENSG00000029725,9135.0
ENSG00000029993,3149.0
ENSG00000030066,23279.0
ENSG00000030110,578.0
ENSG00000030304,4593.0
ENSG00000030419,22807.0
ENSG00000030582,2896.0
ENSG00000031003,51306.0
ENSG00000031081,57514.0
ENSG00000031691,55166.0
ENSG00000031698,6301.0
ENSG00000031823,8498.0
ENSG00000032219,5926.0
ENSG00000032389,7260.0
ENSG00000032444,10908.0
ENSG00000032742,8100.0
ENSG00000033011,56052.0
ENSG00000033030,55596.0
ENSG00000033050,10061.0
ENSG00000033100,54480.0
ENSG00000033122,57554.0
ENSG00000033170,2530.0
ENSG00000033178,55236.0
ENSG00000033327,9846.0
ENSG00000033627,535.0
ENSG00000033800,8554.0
ENSG00000033867,9497.0
ENSG00000034053,321.0
ENSG00000034152,5606.0
ENSG00000034239,79645.0
ENSG00000034510,9168.0
ENSG00000034533,28990.0
ENSG00000034677,25897.0
ENSG00000034693,8504.0
ENSG00000034713,11345.0
ENSG00000034971,4653.0
ENSG00000035115,26751.0
ENSG00000035141,84908.0
ENSG00000035403,7414.0
ENSG00000035499,55789.0
ENSG00000035664,23604.0
ENSG00000035681,8439.0
ENSG00000035687,159.0
ENSG00000035720,26228.0
ENSG00000035862,7077.0
ENSG00000035928,5981.0
ENSG00000036054,55773.0
ENSG00000036257,8452.0
ENSG00000036448,9172.0
ENSG00000036473,5009.0
ENSG00000036530,10858.0
ENSG00000036549,26009.0
ENSG00000036565,6570.0
ENSG00000036672,9099.0
ENSG00000036828,846.0
ENSG00000037042,27175.0
ENSG00000037241,51121.0
ENSG00000037280,2324.0
ENSG00000037474,54888.0
ENSG00000037637,54455.0
ENSG00000037749,4238.0
ENSG00000037757,84245.0
ENSG00000037897,4234.0
ENSG00000037965,3224.0
ENSG00000038002,175.0
ENSG00000038210,55300.0
ENSG00000038219,259282.0
ENSG00000038274,27430.0
ENSG00000038295,7092.0
ENSG00000038358,23644.0
ENSG00000038382,7204.0
ENSG00000038427,1462.0
ENSG00000038532,23274.0
ENSG00000038945,4481.0
ENSG00000039068,999.0
ENSG00000039123,23517.0
ENSG00000039139,1767.0
ENSG00000039319,9765.0
